rep,d,L
37,2,672.3605245119471
37,4,599.891758460797
37,8,465.6561980290283
37,16,389.03724372968014
37,32,310.6286379901273
37,64,238.80529348720358
37,128,173.40064774965327
37,256,129.85568709455575
37,512,97.82388792583853
37,1024,73.85809326123781
38,2,672.3605245119471
38,4,599.891758460797
38,8,465.6561980290283
38,16,389.03724372968014
38,32,310.6286379901273
38,64,238.80529348720358
38,128,173.40064774965327
38,256,129.85568709455575
38,512,97.82388792583853
38,1024,73.85809326123781
39,2,672.3605245119471
39,4,599.891758460797
39,8,465.6561980290283
39,16,389.03724372968014
39,32,310.6286379901273
39,64,238.80529348720358
39,128,173.40064774965327
39,256,129.85568709455575
39,512,97.82388792583853
39,1024,73.85809326123781
40,2,672.3605245119471
40,4,599.891758460797
40,8,465.6561980290283
40,16,389.03724372968014
40,32,310.6286379901273
40,64,238.80529348720358
40,128,173.40064774965327
40,256,129.85568709455575
40,512,97.82388792583853
40,1024,73.85809326123781
41,2,672.3605245119471
41,4,599.891758460797
41,8,465.6561980290283
41,16,389.03724372968014
41,32,310.6286379901273
41,64,238.80529348720358
41,128,173.40064774965327
41,256,129.85568709455575
41,512,97.82388792583853
41,1024,73.85809326123781
42,2,672.3605245119471
42,4,599.891758460797
42,8,465.6561980290283
42,16,389.03724372968014
42,32,310.6286379901273
42,64,238.80529348720358
42,128,173.40064774965327
42,256,129.85568709455575
42,512,97.82388792583853
42,1024,73.85809326123781
43,2,672.3605245119471
43,4,599.891758460797
43,8,465.6561980290283
43,16,389.03724372968014
43,32,310.6286379901273
43,64,238.80529348720358
43,128,173.40064774965327
43,256,129.85568709455575
43,512,97.82388792583853
43,1024,73.85809326123781
44,2,672.3605245119471
44,4,599.891758460797
44,8,465.6561980290283
44,16,389.03724372968014
44,32,310.6286379901273
44,64,238.80529348720358
44,128,173.40064774965327
44,256,129.85568709455575
44,512,97.82388792583853
44,1024,73.85809326123781
45,2,672.3605245119471
45,4,599.891758460797
45,8,465.6561980290283
45,16,389.03724372968014
45,32,310.6286379901273
45,64,238.80529348720358
45,128,173.40064774965327
45,256,129.85568709455575
45,512,97.82388792583853
45,1024,73.85809326123781
46,2,672.3605245119471
46,4,599.891758460797
46,8,465.6561980290283
46,16,389.03724372968014
46,32,310.6286379901273
46,64,238.80529348720358
46,128,173.40064774965327
46,256,129.85568709455575
46,512,97.82388792583853
46,1024,73.85809326123781
47,2,672.3605245119471
47,4,599.891758460797
47,8,465.6561980290283
47,16,389.03724372968014
47,32,310.6286379901273
47,64,238.80529348720358
47,128,173.40064774965327
47,256,129.85568709455575
47,512,97.82388792583853
47,1024,73.85809326123781
48,2,672.3605245119471
48,4,599.891758460797
48,8,465.6561980290283
48,16,389.03724372968014
48,32,310.6286379901273
48,64,238.80529348720358
48,128,173.40064774965327
48,256,129.85568709455575
48,512,97.82388792583853
48,1024,73.85809326123781
49,2,672.3605245119471
49,4,599.891758460797
49,8,465.6561980290283
49,16,389.03724372968014
49,32,310.6286379901273
49,64,238.80529348720358
49,128,173.40064774965327
49,256,129.85568709455575
49,512,97.82388792583853
49,1024,73.85809326123781
50,2,672.3605245119471
50,4,599.891758460797
50,8,465.6561980290283
50,16,389.03724372968014
50,32,310.6286379901273
50,64,238.80529348720358
50,128,173.40064774965327
50,256,129.85568709455575
50,512,97.82388792583853
50,1024,73.85809326123781
51,2,672.3605245119471
51,4,599.891758460797
51,8,465.6561980290283
51,16,389.03724372968014
51,32,310.6286379901273
51,64,238.80529348720358
51,128,173.40064774965327
51,256,129.85568709455575
51,512,97.82388792583853
51,1024,73.85809326123781
52,2,672.3605245119471
52,4,599.891758460797
52,8,465.6561980290283
52,16,389.03724372968014
52,32,310.6286379901273
52,64,238.80529348720358
52,128,173.40064774965327
52,256,129.85568709455575
52,512,97.82388792583853
52,1024,73.85809326123781
53,2,672.3605245119471
53,4,599.891758460797
53,8,465.6561980290283
53,16,389.03724372968014
53,32,310.6286379901273
53,64,238.80529348720358
53,128,173.40064774965327
53,256,129.85568709455575
53,512,97.82388792583853
53,1024,73.85809326123781
54,2,672.3605245119471
54,4,599.891758460797
54,8,465.6561980290283
54,16,389.03724372968014
54,32,310.6286379901273
54,64,238.80529348720358
54,128,173.40064774965327
54,256,129.85568709455575
54,512,97.82388792583853
54,1024,73.85809326123781
55,2,672.3605245119471
55,4,599.891758460797
55,8,465.6561980290283
55,16,389.03724372968014
55,32,310.6286379901273
55,64,238.80529348720358
55,128,173.40064774965327
55,256,129.85568709455575
55,512,97.82388792583853
55,1024,73.85809326123781
56,2,672.3605245119471
56,4,599.891758460797
56,8,465.6561980290283
56,16,389.03724372968014
56,32,310.6286379901273
56,64,238.80529348720358
56,128,173.40064774965327
56,256,129.85568709455575
56,512,97.82388792583853
56,1024,73.85809326123781
57,2,672.3605245119471
57,4,599.891758460797
57,8,465.6561980290283
57,16,389.03724372968014
57,32,310.6286379901273
57,64,238.80529348720358
57,128,173.40064774965327
57,256,129.85568709455575
57,512,97.82388792583853
57,1024,73.85809326123781
58,2,672.3605245119471
58,4,599.891758460797
58,8,465.6561980290283
58,16,389.03724372968014
58,32,310.6286379901273
58,64,238.80529348720358
58,128,173.40064774965327
58,256,129.85568709455575
58,512,97.82388792583853
58,1024,73.85809326123781
59,2,672.3605245119471
59,4,599.891758460797
59,8,465.6561980290283
59,16,389.03724372968014
59,32,310.6286379901273
59,64,238.80529348720358
59,128,173.40064774965327
59,256,129.85568709455575
59,512,97.82388792583853
59,1024,73.85809326123781
60,2,672.3605245119471
60,4,599.891758460797
60,8,465.6561980290283
60,16,389.03724372968014
60,32,310.6286379901273
60,64,238.80529348720358
60,128,173.40064774965327
60,256,129.85568709455575
60,512,97.82388792583853
60,1024,73.85809326123781
61,2,672.3605245119471
61,4,599.891758460797
61,8,465.6561980290283
61,16,389.03724372968014
61,32,310.6286379901273
61,64,238.80529348720358
61,128,173.40064774965327
61,256,129.85568709455575
61,512,97.82388792583853
61,1024,73.85809326123781
62,2,672.3605245119471
62,4,599.891758460797
62,8,465.6561980290283
62,16,389.03724372968014
62,32,310.6286379901273
62,64,238.80529348720358
62,128,173.40064774965327
62,256,129.85568709455575
62,512,97.82388792583853
62,1024,73.85809326123781
63,2,672.3605245119471
63,4,599.891758460797
63,8,465.6561980290283
63,16,389.03724372968014
63,32,310.6286379901273
63,64,238.80529348720358
63,128,173.40064774965327
63,256,129.85568709455575
63,512,97.82388792583853
63,1024,73.85809326123781
64,2,672.3605245119471
64,4,599.891758460797
64,8,465.6561980290283
64,16,389.03724372968014
64,32,310.6286379901273
64,64,238.80529348720358
64,128,173.40064774965327
64,256,129.85568709455575
64,512,97.82388792583853
64,1024,73.85809326123781
65,2,672.3605245119471
65,4,599.891758460797
65,8,465.6561980290283
65,16,389.03724372968014
65,32,310.6286379901273
65,64,238.80529348720358
65,128,173.40064774965327
65,256,129.85568709455575
65,512,97.82388792583853
65,1024,73.85809326123781
66,2,672.3605245119471
66,4,599.891758460797
66,8,465.6561980290283
66,16,389.03724372968014
66,32,310.6286379901273
66,64,238.80529348720358
66,128,173.40064774965327
66,256,129.85568709455575
66,512,97.82388792583853
66,1024,73.85809326123781
67,2,672.3605245119471
67,4,599.891758460797
67,8,465.6561980290283
67,16,389.03724372968014
67,32,310.6286379901273
67,64,238.80529348720358
67,128,173.40064774965327
67,256,129.85568709455575
67,512,97.82388792583853
67,1024,73.85809326123781
68,2,672.3605245119471
68,4,599.891758460797
68,8,465.6561980290283
68,16,389.03724372968014
68,32,310.6286379901273
68,64,238.80529348720358
68,128,173.40064774965327
68,256,129.85568709455575
68,512,97.82388792583853
68,1024,73.85809326123781
69,2,672.3605245119471
69,4,599.891758460797
69,8,465.6561980290283
69,16,389.03724372968014
69,32,310.6286379901273
69,64,238.80529348720358
69,128,173.40064774965327
69,256,129.85568709455575
69,512,97.82388792583853
69,1024,73.85809326123781
70,2,672.3605245119471
70,4,599.891758460797
70,8,465.6561980290283
70,16,389.03724372968014
70,32,310.6286379901273
70,64,238.80529348720358
70,128,173.40064774965327
70,256,129.85568709455575
70,512,97.82388792583853
70,1024,73.85809326123781
71,2,672.3605245119471
71,4,599.891758460797
71,8,465.6561980290283
71,16,389.03724372968014
71,32,310.6286379901273
71,64,238.80529348720358
71,128,173.40064774965327
71,256,129.85568709455575
71,512,97.82388792583853
71,1024,73.85809326123781
72,2,672.3605245119471
72,4,599.891758460797
72,8,465.6561980290283
72,16,389.03724372968014
72,32,310.6286379901273
72,64,238.80529348720358
72,128,173.40064774965327
72,256,129.85568709455575
72,512,97.82388792583853
72,1024,73.85809326123781
73,2,672.3605245119471
73,4,599.891758460797
73,8,465.6561980290283
73,16,389.03724372968014
73,32,310.6286379901273
73,64,238.80529348720358
73,128,173.40064774965327
73,256,129.85568709455575
73,512,97.82388792583853
73,1024,73.85809326123781
74,2,672.3605245119471
74,4,599.891758460797
74,8,465.6561980290283
74,16,389.03724372968014
74,32,310.6286379901273
74,64,238.80529348720358
74,128,173.40064774965327
74,256,129.85568709455575
74,512,97.82388792583853
74,1024,73.85809326123781
75,2,672.3605245119471
75,4,599.891758460797
75,8,465.6561980290283
75,16,389.03724372968014
75,32,310.6286379901273
75,64,238.80529348720358
75,128,173.40064774965327
75,256,129.85568709455575
75,512,97.82388792583853
75,1024,73.85809326123781
76,2,672.3605245119471
76,4,599.891758460797
76,8,465.6561980290283
76,16,389.03724372968014
76,32,310.6286379901273
76,64,238.80529348720358
76,128,173.40064774965327
76,256,129.85568709455575
76,512,97.82388792583853
76,1024,73.85809326123781
77,2,672.3605245119471
77,4,599.891758460797
77,8,465.6561980290283
77,16,389.03724372968014
77,32,310.6286379901273
77,64,238.80529348720358
77,128,173.40064774965327
77,256,129.85568709455575
77,512,97.82388792583853
77,1024,73.85809326123781
78,2,672.3605245119471
78,4,599.891758460797
78,8,465.6561980290283
78,16,389.03724372968014
78,32,310.6286379901273
78,64,238.80529348720358
78,128,173.40064774965327
78,256,129.85568709455575
78,512,97.82388792583853
78,1024,73.85809326123781
79,2,672.3605245119471
79,4,599.891758460797
79,8,465.6561980290283
79,16,389.03724372968014
79,32,310.6286379901273
79,64,238.80529348720358
79,128,173.40064774965327
79,256,129.85568709455575
79,512,97.82388792583853
79,1024,73.85809326123781
80,2,672.3605245119471
80,4,599.891758460797
80,8,465.6561980290283
80,16,389.03724372968014
80,32,310.6286379901273
80,64,238.80529348720358
80,128,173.40064774965327
80,256,129.85568709455575
80,512,97.82388792583853
80,1024,73.85809326123781
81,2,672.3605245119471
81,4,599.891758460797
81,8,465.6561980290283
81,16,389.03724372968014
81,32,310.6286379901273
81,64,238.80529348720358
81,128,173.40064774965327
81,256,129.85568709455575
81,512,97.82388792583853
81,1024,73.85809326123781
82,2,672.3605245119471
82,4,599.891758460797
82,8,465.6561980290283
82,16,389.03724372968014
82,32,310.6286379901273
82,64,238.80529348720358
82,128,173.40064774965327
82,256,129.85568709455575
82,512,97.82388792583853
82,1024,73.85809326123781
83,2,672.3605245119471
83,4,599.891758460797
83,8,465.6561980290283
83,16,389.03724372968014
83,32,310.6286379901273
83,64,238.80529348720358
83,128,173.40064774965327
83,256,129.85568709455575
83,512,97.82388792583853
83,1024,73.85809326123781
84,2,672.3605245119471
84,4,599.891758460797
84,8,465.6561980290283
84,16,389.03724372968014
84,32,310.6286379901273
84,64,238.80529348720358
84,128,173.40064774965327
84,256,129.85568709455575
84,512,97.82388792583853
84,1024,73.85809326123781
85,2,672.3605245119471
85,4,599.891758460797
85,8,465.6561980290283
85,16,389.03724372968014
85,32,310.6286379901273
85,64,238.80529348720358
85,128,173.40064774965327
85,256,129.85568709455575
85,512,97.82388792583853
85,1024,73.85809326123781
86,2,672.3605245119471
86,4,599.891758460797
86,8,465.6561980290283
86,16,389.03724372968014
86,32,310.6286379901273
86,64,238.80529348720358
86,128,173.40064774965327
86,256,129.85568709455575
86,512,97.82388792583853
86,1024,73.85809326123781
87,2,672.3605245119471
87,4,599.891758460797
87,8,465.6561980290283
87,16,389.03724372968014
87,32,310.6286379901273
87,64,238.80529348720358
87,128,173.40064774965327
87,256,129.85568709455575
87,512,97.82388792583853
87,1024,73.85809326123781
88,2,672.3605245119471
88,4,599.891758460797
88,8,465.6561980290283
88,16,389.03724372968014
88,32,310.6286379901273
88,64,238.80529348720358
88,128,173.40064774965327
88,256,129.85568709455575
88,512,97.82388792583853
88,1024,73.85809326123781
89,2,672.3605245119471
89,4,599.891758460797
89,8,465.6561980290283
89,16,389.03724372968014
89,32,310.6286379901273
89,64,238.80529348720358
89,128,173.40064774965327
89,256,129.85568709455575
89,512,97.82388792583853
89,1024,73.85809326123781
90,2,672.3605245119471
90,4,599.891758460797
90,8,465.6561980290283
90,16,389.03724372968014
90,32,310.6286379901273
90,64,238.80529348720358
90,128,173.40064774965327
90,256,129.85568709455575
90,512,97.82388792583853
90,1024,73.85809326123781
91,2,672.3605245119471
91,4,599.891758460797
91,8,465.6561980290283
91,16,389.03724372968014
91,32,310.6286379901273
91,64,238.80529348720358
91,128,173.40064774965327
91,256,129.85568709455575
91,512,97.82388792583853
91,1024,73.85809326123781
92,2,672.3605245119471
92,4,599.891758460797
92,8,465.6561980290283
92,16,389.03724372968014
92,32,310.6286379901273
92,64,238.80529348720358
92,128,173.40064774965327
92,256,129.85568709455575
92,512,97.82388792583853
92,1024,73.85809326123781
93,2,672.3605245119471
93,4,599.891758460797
93,8,465.6561980290283
93,16,389.03724372968014
93,32,310.6286379901273
93,64,238.80529348720358
93,128,173.40064774965327
93,256,129.85568709455575
93,512,97.82388792583853
93,1024,73.85809326123781
94,2,672.3605245119471
94,4,599.891758460797
94,8,465.6561980290283
94,16,389.03724372968014
94,32,310.6286379901273
94,64,238.80529348720358
94,128,173.40064774965327
94,256,129.85568709455575
94,512,97.82388792583853
94,1024,73.85809326123781
95,2,672.3605245119471
95,4,599.891758460797
95,8,465.6561980290283
95,16,389.03724372968014
95,32,310.6286379901273
95,64,238.80529348720358
95,128,173.40064774965327
95,256,129.85568709455575
95,512,97.82388792583853
95,1024,73.85809326123781
96,2,672.3605245119471
96,4,599.891758460797
96,8,465.6561980290283
96,16,389.03724372968014
96,32,310.6286379901273
96,64,238.80529348720358
96,128,173.40064774965327
96,256,129.85568709455575
96,512,97.82388792583853
96,1024,73.85809326123781
97,2,672.3605245119471
97,4,599.891758460797
97,8,465.6561980290283
97,16,389.03724372968014
97,32,310.6286379901273
97,64,238.80529348720358
97,128,173.40064774965327
97,256,129.85568709455575
97,512,97.82388792583853
97,1024,73.85809326123781
98,2,672.3605245119471
98,4,599.891758460797
98,8,465.6561980290283
98,16,389.03724372968014
98,32,310.6286379901273
98,64,238.80529348720358
98,128,173.40064774965327
98,256,129.85568709455575
98,512,97.82388792583853
98,1024,73.85809326123781
99,2,672.3605245119471
99,4,599.891758460797
99,8,465.6561980290283
99,16,389.03724372968014
99,32,310.6286379901273
99,64,238.80529348720358
99,128,173.40064774965327
99,256,129.85568709455575
